Domain	Fixed	0.3	0.6	0.9	1.2	1.8	2.4
1	0.388434433431	0.467990713795	0.469806784707	0.461111551491	0.446635577468	0.421210027734	0.405251893226
2	0.335633540905	0.409791669252	0.448016155119	0.489470761709	0.455803523316	0.436078106578	0.415656582558
3	0.269014099766	0.374700922408	0.409494045609	0.462612448896	0.4207144683	0.408485267708	0.395401330361
4	0.336657112721	0.412456638361	0.436179748272	0.446633669216	0.443376809677	0.423315488136	0.405418656153
5	0.321423604578	0.418939481304	0.450364822123	0.420375615978	0.45418012423	0.431868902666	0.412054208408
6	0.293859389583	0.38177283385	0.407729126999	0.370479229859	0.418135307484	0.408618746413	0.399273276964
7	0.285329025351	0.368265909034	0.384859185248	0.445567449895	0.387569299046	0.379386401354	0.3759049816
8	0.369903605883	0.430821817199	0.449954912912	0.444537285258	0.456151356249	0.446001938319	0.430017416418
9	0.266575082667	0.36574871872	0.395430739153	0.461320199112	0.422338802316	0.42597568073	0.420089622427
10	0.355298271048	0.427793674733	0.440290398879	0.433813610334	0.426352679238	0.40506000207	0.386306113147
11	0.388989867959	0.470949968049	0.471114045778	0.417854431083	0.41858571983	0.370766916959	0.357553569188
12	0.314164308817	0.392538724377	0.418930621495	0.39461597215	0.429172922371	0.403589736949	0.388631746955
13	0.421581888269	0.495689843958	0.492144614477	0.389208802557	0.434665697836	0.406052096215	0.400854068562
14	0.352261807308	0.426075050727	0.440576740102	0.388259094588	0.430836531165	0.410082753552	0.397796061247
15	0.366576980723	0.449354012162	0.462723659596	0.458368916555	0.437708607662	0.403391699353	0.382733000426
16	0.316635870991	0.394030920859	0.411989875692	0.461045908133	0.38518369644	0.356035853799	0.347095859175
17	0.249404623782	0.329020423952	0.367820553897	0.412539848881	0.400018652208	0.396102627727	0.388791459028
18	0.316481556663	0.398636681969	0.413331235615	0.392178562863	0.404635285682	0.374906451202	0.357769991658
19	0.334570199618	0.423602740093	0.432338989823	0.437232999212	0.408866721217	0.379606576568	0.358854375833
20	0.317628442857	0.402803007062	0.415338540194	0.465462054406	0.406297690801	0.395574964776	0.381312195254
21	0.331614686577	0.427082497849	0.441335787928	0.446956314226	0.43489785094	0.416750466096	0.39826190814
22	0.386388318019	0.448722170266	0.459161527394	0.478617365424	0.448105316064	0.422503135494	0.404459456001
23	0.368570063257	0.427646323026	0.411554943303	0.431899740083	0.344228749242	0.30384984024	0.288150836573
24	0.28465551417	0.354525819033	0.398833522745	0.429361859078	0.396064247776	0.363848173276	0.34656141005
25	0.296532059843	0.395109894735	0.426717462699	0.466904712657	0.445487881715	0.44608350514	0.43843359629
26	0.307205383335	0.382362468668	0.403360232379	0.51208415615	0.413316971519	0.406111357469	0.398984602474
27	0.300776404161	0.369146579525	0.391797442425	0.440882875502	0.402480687958	0.393192791026	0.384872394215
28	0.314549113381	0.429085015143	0.452763913948	0.470689150877	0.44735064771	0.428371333321	0.415361871213
29	0.359032418004	0.438706901591	0.453094423647	0.454758981165	0.439386585554	0.416299439525	0.401848443833
30	0.299621610272	0.365660137294	0.389325293835	0.491967639218	0.395790880756	0.387442003354	0.380399997761
31	0.307256626526	0.366459124121	0.377187452332	0.408424108018	0.358686278675	0.34588941639	0.336494319544
32	0.300334769639	0.383262206123	0.393746657876	0.404198616485	0.392151144321	0.382585813135	0.372861346369
33	0.307737905034	0.369465774228	0.392027235216	0.391034289942	0.398686942631	0.390126694914	0.382081296985
34	0.294122333676	0.360234074954	0.394539282769	0.353761344886	0.428180105871	0.41906851663	0.405107411476
35	0.28595183406	0.397487427825	0.409729399248	0.413292758303	0.407839758858	0.390270839748	0.377393163595
36	0.311916585535	0.386818708359	0.407213754514	0.419830711881	0.408998889563	0.393140820268	0.382839544359
37	0.358250484254	0.441007298783	0.468428323935	0.423603293155	0.465262554134	0.430467268069	0.409094194026
38	0.259774065762	0.322923754565	0.352227660736	0.4547346857	0.383535541715	0.389701699997	0.38597244496
39	0.31571490992	0.402073235488	0.437363468996	0.415104242122	0.441773912059	0.396711800359	0.378656926936
40	0.317418736949	0.393942310107	0.424169001474	0.42438684838	0.428574565727	0.412937155823	0.402771393589
